Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2021;41ST AVE;SOPHIA ST;EB STOP BAR AT FRASER ST;50;VERY GOOD;"{""coordinates"": [[-123.09692169892932, 49.23319229642848], [-123.0962351304921, 49.23318039129691]], ""type"": ""LineString""}";49.2331863438627, -123.0965784147107
2021;41ST AVE;GRANVILLE ST;OSLER ST;47;GOOD;"{""coordinates"": [[-123.13944824305412, 49.23451693713491], [-123.13880329094307, 49.23449815638131]], ""type"": ""LineString""}";49.23450754675811, -123.1391257669986
2021;1ST AVE;NANAIMO ST;RENFREW ST;50;POOR;"{""coordinates"": [[-123.04501607491022, 49.26968372106951], [-123.04432881490904, 49.269677989685285]], ""type"": ""LineString""}";49.26968085537741, -123.04467244490962
2021;JOYCE ST;EB STOP BAR AT JOYCE ST/41ST AVE/ SCHOOL AVE;KINGSWAY AVE;50;POOR;"{""coordinates"": [[-123.03744349705934, 49.23329515311967], [-123.03687737318575, 49.23354632972178]], ""type"": ""LineString""}";49.23342074142073, -123.03716043512253
2021;41ST AVE;BLENHEIM ST;MACDONALD ST;50;VERY GOOD;"{""coordinates"": [[-123.17173365092594, 49.234931151189144], [-123.1710468192912, 49.234930486264155]], ""type"": ""LineString""}";49.23493081872665, -123.17139023510857
2021;41ST AVE;ROSS ST;INVERNESS ST;50;POOR;"{""coordinates"": [[-123.08181772072889, 49.23297458867047], [-123.08113104074954, 49.23296597786644]], ""type"": ""LineString""}";49.23297028326846, -123.08147438073922
2021;41ST AVE;NANAIMO ST;KILLARNEY ST;50;FAIR;"{""coordinates"": [[-123.05370874440356, 49.23299333113518], [-123.05302202927656, 49.23298600689657]], ""type"": ""LineString""}";49.23298966901587, -123.05336538684006
2021;70TH AVE;EB STOP BAR AT SW MARINE DR;SW MARINE DR;29;NO DATA;"{""coordinates"": [[-123.12192920965015, 49.20856203149719], [-123.12153107558485, 49.20855957348772]], ""type"": ""LineString""}";49.20856080249246, -123.12173014261751
2021;41ST AVE;NANAIMO ST;KILLARNEY ST;50;VERY GOOD;"{""coordinates"": [[-123.04758553741016, 49.23303030737138], [-123.04690935994492, 49.23310886060423]], ""type"": ""LineString""}";49.233069583987806, -123.04724744867754
2021;41ST AVE;BLENHEIM ST;MACDONALD ST;50;GOOD;"{""coordinates"": [[-123.16967315879316, 49.23492914415957], [-123.16898632718282, 49.23492846698405]], ""type"": ""LineString""}";49.234928805571805, -123.169329742988
2021;70TH AVE;HEATHER ST;EB STOP BAR AT SW MARINE DR;50;POOR;"{""coordinates"": [[-123.12290394992968, 49.20856804176159], [-123.12221751270351, 49.20856381011415]], ""type"": ""LineString""}";49.20856592593787, -123.1225607313166
2021;41ST AVE;EB STOP BAR AT VICTORIA DR;GLADSTONE ST;12;VERY GOOD;"{""coordinates"": [[-123.06579343054989, 49.23292198556325], [-123.06563286722266, 49.23294639466347]], ""type"": ""LineString""}";49.23293419011336, -123.06571314888627
2021;41ST AVE;RR;GRANVILLE ST;50;VERY GOOD;"{""coordinates"": [[-123.14082720375174, 49.23453837585595], [-123.1401405696545, 49.234527723014345]], ""type"": ""LineString""}";49.23453304943514, -123.14048388670312
2021;70TH AVE;GRANVILLE ST;OAK ST;50;FAIR;"{""coordinates"": [[-123.13250409558594, 49.20870590238201], [-123.13181785045364, 49.20869440359916]], ""type"": ""LineString""}";49.20870015299059, -123.1321609730198
2021;41ST AVE;RUPERT ST;EB STOP BAR AT JOYCE ST/41ST AVE/ SCHOOL AVE;50;GOOD;"{""coordinates"": [[-123.03864555553209, 49.23315460313479], [-123.03796258490438, 49.23318851770668]], ""type"": ""LineString""}";49.23317156042074, -123.03830407021823
2021;41ST AVE;ELIZABETH ST;ONTARIO ST;10;GOOD;"{""coordinates"": [[-123.11214923369667, 49.233581697838765], [-123.11201206198042, 49.23357694740098]], ""type"": ""LineString""}";49.233579322619875, -123.11208064783855
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;VERY POOR;"{""coordinates"": [[-123.16279986265604, 49.234870505337014], [-123.16211321966158, 49.23486001548794]], ""type"": ""LineString""}";49.23486526041248, -123.16245654115882
2021;41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;29;NO DATA;"{""coordinates"": [[-123.11858270942602, 49.2338131570358], [-123.11818483427287, 49.23380037592596]], ""type"": ""LineString""}";49.23380676648088, -123.11838377184944
2021;1ST AVE;COMMERCIAL DR;NANAIMO ST;50;VERY GOOD;"{""coordinates"": [[-123.06013880682798, 49.26971882918664], [-123.0594514968515, 49.26971686321465]], ""type"": ""LineString""}";49.26971784620064, -123.05979515183974
2021;41ST AVE;KNIGHT ST;DUMFRIES ST;49;FAIR;"{""coordinates"": [[-123.07699789235164, 49.23291018547507], [-123.07632492429504, 49.23290258311069]], ""type"": ""LineString""}";49.23290638429288, -123.07666140832332
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;VERY GOOD;"{""coordinates"": [[-123.21186926448254, 49.26407709182576], [-123.2111822560367, 49.264065532287596]], ""type"": ""LineString""}";49.26407131205668, -123.21152576025963
2021;1ST AVE;CLARK DR;COMMERCIAL DR;50;VERY GOOD;"{""coordinates"": [[-123.07525678746727, 49.26984841298284], [-123.07456950308101, 49.26984406234431]], ""type"": ""LineString""}";49.26984623766357, -123.07491314527414
2021;41ST AVE;RR;GRANVILLE ST;50;NO DATA;"{""coordinates"": [[-123.14357374163689, 49.23458094820859], [-123.1428871063915, 49.23457031079329]], ""type"": ""LineString""}";49.23457562950094, -123.14323042401419
2021;41ST AVE;ELIZABETH ST;ONTARIO ST;50;GOOD;"{""coordinates"": [[-123.11064035311418, 49.23352943225791], [-123.10995450034459, 49.233505668577]], ""type"": ""LineString""}";49.23351755041746, -123.11029742672939
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;VERY GOOD;"{""coordinates"": [[-123.20225211407134, 49.26391647072908], [-123.20156505058766, 49.263906482237616]], ""type"": ""LineString""}";49.263911476483344, -123.20190858232951
2021;41ST AVE;RUPERT ST;EB STOP BAR AT JOYCE ST/41ST AVE/ SCHOOL AVE;50;FAIR;"{""coordinates"": [[-123.03999821596203, 49.23315570968345], [-123.03931140868319, 49.23315541652029]], ""type"": ""LineString""}";49.233155563101874, -123.03965481232261
2021;41ST AVE;RR;GRANVILLE ST;50;FAIR;"{""coordinates"": [[-123.15249993465599, 49.23472406166985], [-123.15181329067259, 49.23471365182795]], ""type"": ""LineString""}";49.23471885674889, -123.15215661266429
2021;41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;50;POOR;"{""coordinates"": [[-123.12504210938481, 49.23403628978855], [-123.12435629613562, 49.23401194951596]], ""type"": ""LineString""}";49.234024119652254, -123.12469920276021
2021;41ST AVE;RR;GRANVILLE ST;35;FAIR;"{""coordinates"": [[-123.1545605842083, 49.23475226493164], [-123.1540799085062, 49.23474568924708]], ""type"": ""LineString""}";49.23474897708937, -123.15432024635726
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;VERY POOR;"{""coordinates"": [[-123.20499919528345, 49.26396131349705], [-123.20431218992516, 49.2639497131047]], ""type"": ""LineString""}";49.263955513300864, -123.20465569260432
2021;41ST AVE;KNIGHT ST;DUMFRIES ST;4;VERY GOOD;"{""coordinates"": [[-123.07426483171308, 49.232879367898434], [-123.07420989602839, 49.232878748347154]], ""type"": ""LineString""}";49.23287905812279, -123.07423736387074
2021;41ST AVE;BLENHEIM ST;MACDONALD ST;50;VERY GOOD;"{""coordinates"": [[-123.17722787799003, 49.234940422474175], [-123.1765410479761, 49.23493912096531]], ""type"": ""LineString""}";49.23493977171974, -123.17688446298307
2021;1ST AVE;CLARK DR;COMMERCIAL DR;50;VERY GOOD;"{""coordinates"": [[-123.07319493328305, 49.269835348803596], [-123.07250764787167, 49.269830985901386]], ""type"": ""LineString""}";49.26983316735249, -123.07285129057735
2021;41ST AVE;RUPERT ST;EB STOP BAR AT JOYCE ST/41ST AVE/ SCHOOL AVE;50;VERY GOOD;"{""coordinates"": [[-123.04480587393208, 49.23315764929116], [-123.04411906524356, 49.233157384711255]], ""type"": ""LineString""}";49.233157517001196, -123.04446246958781
2021;41ST AVE;CAMBIE ST;ELIZABETH ST;46;NO DATA;"{""coordinates"": [[-123.11406962947409, 49.233648189572534], [-123.11343864196166, 49.23362634525771]], ""type"": ""LineString""}";49.23363726741512, -123.11375413571788
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;GOOD;"{""coordinates"": [[-123.1669241386531, 49.234926405307924], [-123.16623735957081, 49.234922933978176]], ""type"": ""LineString""}";49.23492466964305, -123.16658074911196
2021;41ST AVE;SOPHIA ST;EB STOP BAR AT FRASER ST;50;POOR;"{""coordinates"": [[-123.09143000028982, 49.23310465208451], [-123.0907433662845, 49.23309455389586]], ""type"": ""LineString""}";49.23309960299019, -123.09108668328716
2021;70TH AVE;GRANVILLE ST;OAK ST;30;FAIR;"{""coordinates"": [[-123.1398158858156, 49.208750124268825], [-123.13940718253859, 49.20878358151516]], ""type"": ""LineString""}";49.208766852892, -123.1396115341771
2021;41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;50;VERY POOR;"{""coordinates"": [[-123.11749884358031, 49.233778336589864], [-123.11681285211522, 49.23375629228155]], ""type"": ""LineString""}";49.2337673144357, -123.11715584784774
2021;1ST AVE;RENFREW ST;EB STOP BAR AT RUPERT ST;38;POOR;"{""coordinates"": [[-123.04416845766141, 49.269676761184364], [-123.0436461020027, 49.26967810297027]], ""type"": ""LineString""}";49.269677432077316, -123.04390727983207
2021;41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;50;VERY POOR;"{""coordinates"": [[-123.12024281271577, 49.23386646948689], [-123.11955681884078, 49.23384444237449]], ""type"": ""LineString""}";49.233855455930694, -123.11989981577827
2021;1ST AVE;COMMERCIAL DR;NANAIMO ST;50;VERY GOOD;"{""coordinates"": [[-123.0573895699781, 49.26971094076672], [-123.05670226158128, 49.26970895844033]], ""type"": ""LineString""}";49.269709949603524, -123.0570459157797
2021;41ST AVE;GLADSTONE ST;NANAIMO ST;50;VERY GOOD;"{""coordinates"": [[-123.06057611161395, 49.233065482647824], [-123.05988938801062, 49.23305850507479]], ""type"": ""LineString""}";49.2330619938613, -123.0602327498123
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;VERY POOR;"{""coordinates"": [[-123.15868066746565, 49.23480854216664], [-123.15799398583957, 49.234799172982996]], ""type"": ""LineString""}";49.23480385757482, -123.1583373266526
2021;41ST AVE;INVERNESS ST;KNIGHT ST;1;FAIR;"{""coordinates"": [[-123.07701051473042, 49.23291036236352], [-123.07699678245203, 49.23291017092291]], ""type"": ""LineString""}";49.23291026664322, -123.07700364859122
2021;1ST AVE;RENFREW ST;EB STOP BAR AT RUPERT ST;50;FAIR;"{""coordinates"": [[-123.03539579523374, 49.269651531313656], [-123.03470849488211, 49.26964874261752]], ""type"": ""LineString""}";49.269650136965595, -123.03505214505792
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;FAIR;"{""coordinates"": [[-123.19332030539177, 49.263786305237325], [-123.19263324399124, 49.263776263630305]], ""type"": ""LineString""}";49.26378128443381, -123.1929767746915
2021;41ST AVE;INVERNESS ST;KNIGHT ST;50;FAIR;"{""coordinates"": [[-123.07769715901718, 49.2329199412865], [-123.07701050923598, 49.232910362367186]], ""type"": ""LineString""}";49.232915151826845, -123.07735383412657
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;VERY GOOD;"{""coordinates"": [[-123.20774721980965, 49.26400767421235], [-123.20706021321446, 49.26399609016161]], ""type"": ""LineString""}";49.26400188218698, -123.20740371651206
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;11;VERY GOOD;"{""coordinates"": [[-123.02714993370483, 49.26965814916449], [-123.02699872442962, 49.269658184595755]], ""type"": ""LineString""}";49.26965816688012, -123.02707432906725
2021;70TH AVE;CORNISH ST;GRANVILLE ST;19;POOR;"{""coordinates"": [[-123.14074108228932, 49.20873764139857], [-123.1404802285911, 49.20873700274531]], ""type"": ""LineString""}";49.20873732207194, -123.14061065544021
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;50;FAIR;"{""coordinates"": [[-123.03196236640217, 49.269650119582714], [-123.03127505982688, 49.26965236486476]], ""type"": ""LineString""}";49.269651242223745, -123.03161871311453
2021;41ST AVE;EB STOP BAR AT VICTORIA DR;GLADSTONE ST;50;FAIR;"{""coordinates"": [[-123.06471435681566, 49.233074679622895], [-123.06402949708335, 49.23310004555818]], ""type"": ""LineString""}";49.23308736259054, -123.0643719269495
2021;41ST AVE;BLENHEIM ST;MACDONALD ST;50;VERY GOOD;"{""coordinates"": [[-123.172420481198, 49.23493181293217], [-123.17173365092594, 49.234931151189144]], ""type"": ""LineString""}";49.23493148206066, -123.17207706606197
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;GOOD;"{""coordinates"": [[-123.21255627323632, 49.264088647278456], [-123.21186926448254, 49.26407709182576]], ""type"": ""LineString""}";49.26408286955211, -123.21221276885943
2021;41ST AVE;RUPERT ST;EB STOP BAR AT JOYCE ST/41ST AVE/ SCHOOL AVE;50;FAIR;"{""coordinates"": [[-123.04274544925435, 49.23315684330116], [-123.04205864058035, 49.23315656647152]], ""type"": ""LineString""}";49.23315670488634, -123.04240204491735
2021;41ST AVE;QUEBEC ST;EB STOP BAR AT MAIN ST;1;GOOD;"{""coordinates"": [[-123.10379668357373, 49.233330574399666], [-123.10378295760755, 49.233330223323414]], ""type"": ""LineString""}";49.23333039886154, -123.10378982059063
2021;1ST AVE;NANAIMO ST;RENFREW ST;12;POOR;"{""coordinates"": [[-123.04432915719433, 49.26967799225253], [-123.04416421416724, 49.26967675021313]], ""type"": ""LineString""}";49.26967737123284, -123.04424668568078
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;27;FAIR;"{""coordinates"": [[-123.02852456346551, 49.26965781798577], [-123.02815341343262, 49.269657909015706]], ""type"": ""LineString""}";49.26965786350074, -123.02833898844906
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;VERY POOR;"{""coordinates"": [[-123.16142657557435, 49.23484952155921], [-123.16073993176822, 49.234839023548865]], ""type"": ""LineString""}";49.23484427255404, -123.16108325367128
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;VERY GOOD;"{""coordinates"": [[-123.21324328366839, 49.2641001977437], [-123.21255627461076, 49.26408864727594]], ""type"": ""LineString""}";49.26409442250982, -123.21289977913958
2021;70TH AVE;GRANVILLE ST;OAK ST;50;FAIR;"{""coordinates"": [[-123.13387797318916, 49.2087267569227], [-123.13319165224021, 49.208717417164195]], ""type"": ""LineString""}";49.20872208704344, -123.13353481271467
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;43;VERY POOR;"{""coordinates"": [[-123.18645021549179, 49.26368955712104], [-123.18585931601643, 49.263681766712274]], ""type"": ""LineString""}";49.263685661916654, -123.18615476575413
2021;41ST AVE;EB STOP BAR AT DUNBAR ST;BLENHEIM ST;50;VERY GOOD;"{""coordinates"": [[-123.18134847682329, 49.23494892536159], [-123.18066164993685, 49.23494704296586]], ""type"": ""LineString""}";49.234947984163725, -123.18100506338007
2021;70TH AVE;OAK ST;HEATHER ST;50;VERY POOR;"{""coordinates"": [[-123.12770569124632, 49.2086328016967], [-123.12701937472157, 49.20862475386401]], ""type"": ""LineString""}";49.208628777780355, -123.12736253298394
2021;41ST AVE;CAMBIE ST;ELIZABETH ST;50;NO DATA;"{""coordinates"": [[-123.11543643597595, 49.23370353794335], [-123.11475120834787, 49.23367298011528]], ""type"": ""LineString""}";49.233688259029314, -123.11509382216191
2021;1ST AVE;RENFREW ST;EB STOP BAR AT RUPERT ST;50;VERY POOR;"{""coordinates"": [[-123.03470849488211, 49.26964874261752], [-123.03402119323066, 49.26964594893395]], ""type"": ""LineString""}";49.26964734577574, -123.03436484405638
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;POOR;"{""coordinates"": [[-123.18851149032209, 49.26371671067183], [-123.18782439755816, 49.2637076641757]], ""type"": ""LineString""}";49.26371218742377, -123.18816794394013
2021;70TH AVE;CORNISH ST;GRANVILLE ST;50;GOOD;"{""coordinates"": [[-123.14142367176684, 49.208745474636046], [-123.14073730800129, 49.20873761541337]], ""type"": ""LineString""}";49.2087415450247, -123.14108048988408
2021;41ST AVE;KILLARNEY ST;RUPERT ST;50;VERY GOOD;"{""coordinates"": [[-123.04549268262511, 49.23315790978781], [-123.04480587393208, 49.23315764929116]], ""type"": ""LineString""}";49.23315777953948, -123.04514927827859
2021;41ST AVE;NANAIMO ST;KILLARNEY ST;50;FAIR;"{""coordinates"": [[-123.05439545973024, 49.23300065129155], [-123.05370874440356, 49.23299333113518]], ""type"": ""LineString""}";49.232996991213355, -123.0540521020669
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;VERY POOR;"{""coordinates"": [[-123.15936727142231, 49.23481802521357], [-123.15868059465893, 49.234808541367116]], ""type"": ""LineString""}";49.23481328329034, -123.15902393304063
2021;1ST AVE;NANAIMO ST;RENFREW ST;50;FAIR;"{""coordinates"": [[-123.05395367233815, 49.26968883993937], [-123.05326635967805, 49.2696875864765]], ""type"": ""LineString""}";49.269688213207935, -123.0536100160081
2021;41ST AVE;SW MARINE DR;EB STOP BAR AT DUNBAR ST;50;GOOD;"{""coordinates"": [[-123.18959074862448, 49.23497546237791], [-123.18890391954936, 49.23497427754709]], ""type"": ""LineString""}";49.23497486996251, -123.18924733408693
2021;41ST AVE;BLENHEIM ST;MACDONALD ST;50;GOOD;"{""coordinates"": [[-123.16898632718282, 49.23492846698405], [-123.16829949695463, 49.23492778572296]], ""type"": ""LineString""}";49.23492812635351, -123.16864291206873
2021;1ST AVE;COMMERCIAL DR;NANAIMO ST;50;VERY GOOD;"{""coordinates"": [[-123.05876418830067, 49.269714893153555], [-123.05807687980102, 49.26971291900403]], ""type"": ""LineString""}";49.26971390607879, -123.05842053405084
2021;41ST AVE;EB STOP BAR AT MAIN ST;SOPHIA ST;24;GOOD;"{""coordinates"": [[-123.09999752560167, 49.23324558129453], [-123.09966797179561, 49.23323987615184]], ""type"": ""LineString""}";49.23324272872318, -123.09983274869865
2021;70TH AVE;GRANVILLE ST;OAK ST;17;POOR;"{""coordinates"": [[-123.14029582518081, 49.208736653870446], [-123.14006252515381, 49.20874042897624]], ""type"": ""LineString""}";49.208738541423344, -123.1401791751673
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;VERY POOR;"{""coordinates"": [[-123.19469442761537, 49.26380637529626], [-123.1940073670592, 49.26379634275837]], ""type"": ""LineString""}";49.26380135902731, -123.19435089733729
2021;1ST AVE;NANAIMO ST;RENFREW ST;50;FAIR;"{""coordinates"": [[-123.05464098365606, 49.269690090213906], [-123.05395367096351, 49.26968883994001]], ""type"": ""LineString""}";49.26968946507696, -123.0542973273098
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;39;FAIR;"{""coordinates"": [[-123.02699597928905, 49.269658176241954], [-123.02645989929403, 49.26965479752006]], ""type"": ""LineString""}";49.269656486881004, -123.02672793929153
2021;70TH AVE;OAK ST;HEATHER ST;33;FAIR;"{""coordinates"": [[-123.13020195567661, 49.208656810004705], [-123.12975153591402, 49.208636936214106]], ""type"": ""LineString""}";49.2086468731094, -123.12997674579532
2021;41ST AVE;RR;GRANVILLE ST;50;VERY POOR;"{""coordinates"": [[-123.15112609039441, 49.23470225814994], [-123.15043948250104, 49.23469087040697]], ""type"": ""LineString""}";49.23469656427845, -123.15078278644772
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;FAIR;"{""coordinates"": [[-123.16348650730197, 49.23488099020302], [-123.16279986265604, 49.234870505337014]], ""type"": ""LineString""}";49.23487574777002, -123.16314318497902
2021;41ST AVE;ROSS ST;INVERNESS ST;50;VERY POOR;"{""coordinates"": [[-123.08113103937592, 49.232965977867394], [-123.08044436100248, 49.23295736208096]], ""type"": ""LineString""}";49.23296166997417, -123.0807877001892
2021;70TH AVE;OAK ST;HEATHER ST;50;GOOD;"{""coordinates"": [[-123.12633087689238, 49.208612960498186], [-123.12564464481152, 49.20860119564559]], ""type"": ""LineString""}";49.208607078071886, -123.12598776085197
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;40;POOR;"{""coordinates"": [[-123.0311375998791, 49.2696528139699], [-123.03058775456253, 49.26965460695759]], ""type"": ""LineString""}";49.26965371046374, -123.03086267722081
2021;41ST AVE;RR;GRANVILLE ST;50;FAIR;"{""coordinates"": [[-123.14494701435396, 49.23460220899405], [-123.14426037853933, 49.2345915806412]], ""type"": ""LineString""}";49.23459689481763, -123.14460369644665
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;VERY POOR;"{""coordinates"": [[-123.18713730503056, 49.26369861269372], [-123.18645021411733, 49.263689557123236]], ""type"": ""LineString""}";49.26369408490848, -123.18679375957394
2021;41ST AVE;ELIZABETH ST;ONTARIO ST;50;GOOD;"{""coordinates"": [[-123.10858339020983, 49.233458149129106], [-123.10789747009339, 49.23343535018361]], ""type"": ""LineString""}";49.23344674965636, -123.10824043015161
2021;1ST AVE;NANAIMO ST;RENFREW ST;50;POOR;"{""coordinates"": [[-123.05120634489715, 49.26968769022712], [-123.05051903551674, 49.26968956064293]], ""type"": ""LineString""}";49.269688625435016, -123.05086269020694
2021;10TH AVE;BLANCA ST;EB STOP BAR AT DISCOVERY ST;50;VERY GOOD;"{""coordinates"": [[-123.21049524927336, 49.26405396866151], [-123.2098082414438, 49.264042400952455]], ""type"": ""LineString""}";49.264048184806974, -123.21015174535859
2021;41ST AVE;GRANVILLE ST;OSLER ST;50;VERY GOOD;"{""coordinates"": [[-123.1325868726123, 49.23430075332869], [-123.13190085679047, 49.234278948862546]], ""type"": ""LineString""}";49.23428985109562, -123.13224386470138
2021;41ST AVE;QUEBEC ST;EB STOP BAR AT MAIN ST;50;FAIR;"{""coordinates"": [[-123.10378296035479, 49.23333022332093], [-123.10309667328819, 49.23331267191649]], ""type"": ""LineString""}";49.23332144761871, -123.1034398168215
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;50;POOR;"{""coordinates"": [[-123.02921187696158, 49.26965764626402], [-123.02852456346551, 49.26965781798577]], ""type"": ""LineString""}";49.2696577321249, -123.02886822021357
2021;41ST AVE;WEST BLVD;RR;18;VERY POOR;"{""coordinates"": [[-123.155535671818, 49.23476559779894], [-123.15528846659767, 49.234762218920835]], ""type"": ""LineString""}";49.23476390835989, -123.15541206920784
2021;70TH AVE;OAK ST;HEATHER ST;2;GOOD;"{""coordinates"": [[-123.1283961428976, 49.20863433725818], [-123.12836868535739, 49.20863427692393]], ""type"": ""LineString""}";49.20863430709106, -123.12838241412749
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;41;FAIR;"{""coordinates"": [[-123.0249615134069, 49.269644927688354], [-123.02439794368837, 49.26964121071401]], ""type"": ""LineString""}";49.26964306920118, -123.02467972854762
2021;41ST AVE;ONTARIO ST;QUEBEC ST;49;VERY GOOD;"{""coordinates"": [[-123.10446924790128, 49.23334777064799], [-123.10379668632098, 49.23333057439718]], ""type"": ""LineString""}";49.233339172522584, -123.10413296711113
2021;41ST AVE;RR;GRANVILLE ST;50;NO DATA;"{""coordinates"": [[-123.14563364908328, 49.23461283416668], [-123.14494701298032, 49.234602208995774]], ""type"": ""LineString""}";49.234607521581225, -123.14529033103179
2021;41ST AVE;NANAIMO ST;KILLARNEY ST;50;VERY GOOD;"{""coordinates"": [[-123.05645560553535, 49.23302258906697], [-123.05576888960948, 49.23301528025779]], ""type"": ""LineString""}";49.23301893466239, -123.05611224757241
2021;41ST AVE;SW MARINE DR;EB STOP BAR AT DUNBAR ST;50;VERY GOOD;"{""coordinates"": [[-123.1875292370506, 49.23496908358195], [-123.18684241950372, 49.23496618097555]], ""type"": ""LineString""}";49.23496763227875, -123.18718582827717
2021;70TH AVE;GRANVILLE ST;OAK ST;50;FAIR;"{""coordinates"": [[-123.13456445708431, 49.208735840545245], [-123.13387812833824, 49.208726759441475]], ""type"": ""LineString""}";49.20873129999337, -123.13422129271127
2021;70TH AVE;GRANVILLE ST;OAK ST;17;FAIR;"{""coordinates"": [[-123.13042678060451, 49.20867066907358], [-123.13019479618326, 49.208656432176745]], ""type"": ""LineString""}";49.20866355062516, -123.13031078839388
2021;41ST AVE;MACDONALD ST;WEST BLVD;50;VERY POOR;"{""coordinates"": [[-123.16211321966158, 49.23486001548794], [-123.16142657557435, 49.23484952155921]], ""type"": ""LineString""}";49.234854768523576, -123.16176989761797
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;VERY POOR;"{""coordinates"": [[-123.19812973440621, 49.263856480293995], [-123.19744267251508, 49.26384646728649]], ""type"": ""LineString""}";49.26385147379024, -123.19778620346067
2021;1ST AVE;NANAIMO ST;RENFREW ST;50;GOOD;"{""coordinates"": [[-123.04845713873219, 49.26969521840873], [-123.04776982917947, 49.26969712194468]], ""type"": ""LineString""}";49.2696961701767, -123.04811348395582
