HBLOCK,latitude,longitude,pavement_Year,pavement_Road Name,pavement_From Street,pavement_To Street,pavement_length_(m),pavement_FAIR,pavement_GOOD,pavement_NO DATA,pavement_POOR,pavement_VERY GOOD,pavement_VERY POOR,streetlight_count,avg_distance_to_streetlight_meters,curb_ramp_count,avg_distance_to_curb_ramp_meters,under_construction,construction_distance,construction_location,construction_completion,geometry_text,*pavement_length_(m),*avg_distance_to_streetlight_meters,*avg_distance_to_curb_ramp_meters,*construction_distance,*streetlight_count,*curb_ramp_count,k=7 clustering
3200 E 21ST AV,49.25148482874942,-123.03418612759415,,,,,43.842981760507534,0,0,,0,0,0,10,31.609420613090965,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497484.513 5455413.246, 497539.794 5455413.415)",-1.0566978441507719e-15,1.3492108482380893,-3.364136263006617e-15,0.0,0.04291845493562232,0.0,0
3200 E 20TH AV,49.25232168684976,-123.03418242500402,,,,,43.842981760507534,0,0,,0,0,0,12,26.596320669126623,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497484.708 5455506.401, 497540.222 5455506.327)",-1.0566978441507719e-15,0.3823580294547317,-3.364136263006617e-15,0.0,0.05150214592274678,0.0,0
1900 TRAFALGAR ST,49.26853400323658,-123.16451087801084,,,,,43.842981760507534,0,0,,0,0,0,17,24.15439377607666,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488032.698 5457345.289, 488031.466 5457297.01)",-1.0566978441507719e-15,-0.08860483308520521,-3.364136263006617e-15,0.0,0.07296137339055794,0.0,0
2000 E 19TH AV,49.25326033084365,-123.06292022888688,,,,,43.842981760507534,0,0,,0,0,0,6,18.697724605351763,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495361.118 5455637.658, 495481.352 5455586.454)",-1.0566978441507719e-15,-1.141006745645427,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,4
1900 E 19TH AV,49.25390547647116,-123.0652400266269,,,,,43.842981760507534,0,0,,0,0,0,11,24.47981056507979,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495190.117 5455710.479, 495314.849 5455657.361)",-1.0566978441507719e-15,-0.025843239810785318,-3.364136263006617e-15,0.0,0.047210300429184546,0.0,0
2900 VINE ST,49.259908311119645,-123.1578157625481,,,,,43.842981760507534,0,0,,0,0,0,4,23.105185090996702,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488517.823 5456386.763, 488516.457 5456335.618)",-1.0566978441507719e-15,-0.2909607378149499,-3.364136263006617e-15,0.0,0.017167381974248927,0.0,4
2900 BALSAM ST,49.25994571502939,-123.16018390570248,,,,,43.842981760507534,0,0,,0,0,0,5,24.104359911750997,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488345.522 5456391.312, 488344.158 5456340.11)",-1.0566978441507719e-15,-0.09825462728412873,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,4
7400 RUPERT ST,49.21692890087713,-123.04457209008577,,,,,43.842981760507534,0,0,,0,0,0,5,26.007526871942396,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (496765.709 5451591.141, 496742.424 5451553.157)",-1.0566978441507719e-15,0.26880016129869727,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
7700 MUNROE CRESCENT,49.21418652064263,-123.04019190803926,,,,,43.842981760507534,0,0,,0,0,0,8,24.77510967519994,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497074.272 5451311.708, 497071.505 5451222.495)",-1.0566978441507719e-15,0.03110969952720461,-3.364136263006617e-15,0.0,0.034334763948497854,0.0,0
3100 E 62ND AV,49.213791854764665,-123.04054488866984,,,,,43.842981760507534,0,0,,0,0,0,5,22.4738357393635,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497022.811 5451223.986, 497071.505 5451222.495)",-1.0566978441507719e-15,-0.4127260939991089,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,4
3100 E 63RD AV,49.21304138421228,-123.04024981720065,,,,,43.842981760507534,0,0,,0,0,0,10,19.89419039065279,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (496968.329 5451139.417, 497108.416 5451135.066, 497108.417 5451135.066, 497109.427 5451135.043, 497110.437 5451135.038, 497111.447 5451135.05, 497112.457 5451135.08, 497113.466 5451135.128, 497114.475 5451135.193, 497115.481 5451135.276, 497116.487 5451135.376, 497117.49 5451135.494, 497118.491 5451135.63, 497119.49 5451135.782, 497120.486 5451135.953, 497121.479 5451136.14, 497122.468 5451136.345, 497123.454 5451136.567, 497124.435 5451136.807, 497125.413 5451137.063, 497126.385 5451137.336, 497127.353 5451137.627, 497128.315 5451137.934, 497129.272 5451138.258, 497130.224 5451138.599, 497131.169 5451138.956, 497132.107 5451139.329, 497133.039 5451139.719, 497133.964 5451140.125, 497134.882 5451140.548, 497135.793 5451140.986, 497136.695 5451141.44, 497137.59 5451141.909, 497138.476 5451142.395, 497139.354 5451142.895, 497140.222 5451143.411, 497141.082 5451143.942, 497141.932 5451144.488, 497142.773 5451145.048, 497143.603 5451145.624, 497144.424 5451146.213, 497145.234 5451146.817, 497146.033 5451147.435, 497146.822 5451148.067, 497147.599 5451148.712, 497148.365 5451149.371, 497149.119 5451150.043, 497149.862 5451150.728, 497150.592 5451151.426, 497151.31 5451152.137, 497152.016 5451152.86, 497152.709 5451153.595, 497153.389 5451154.343, 497154.055 5451155.102, 497154.709 5451155.872, 497155.349 5451156.654, 497155.975 5451157.447, 497156.587 5451158.251, 497157.185 5451159.065, 497157.769 5451159.889, 497158.338 5451160.724, 497158.893 5451161.569, 497159.433 5451162.423, 497159.958 5451163.286, 497160.467 5451164.158, 497160.962 5451165.039, 497161.441 5451165.929, 497161.904 5451166.827, 497162.352 5451167.732, 497162.784 5451168.646, 497163.068 5451169.277)",-1.0566978441507719e-15,-0.910250062150834,-3.364136263006617e-15,0.0,0.04291845493562232,0.0,4
300 E BROADWAY,49.26281450465779,-123.09799288693635,2021.0,KINGSWAY AVE,EB STOP BAR AT BROADWAY AVE,EB STOP BAR AT 12TH AVE,50.0,0,0,False,0,1,0,28,26.42458187486636,0,28.491826787418614,1,0.5819220240211989,Various Locations,2027-12-02,"LINESTRING (492800.124 5456679.592, 492940.557 5456674.23)",0.9156532848244208,0.3492355824297313,-3.364136263006617e-15,-1.7935091683661735,0.12017167381974249,0.0,2
500 E 11TH AV,49.260637786812595,-123.09134879733008,,,,,43.842981760507534,0,0,,0,0,0,4,26.17507540891316,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (493334.265 5456434.548, 493372.638 5456434.09)",-1.0566978441507719e-15,0.301114453266534,-3.364136263006617e-15,0.0,0.017167381974248927,0.0,0
400 E 12TH AV,49.25976507679603,-123.09530636780453,2021.0,KINGSWAY AVE,EB STOP BAR AT 12TH AVE,EB STOP BAR AT FRASER ST,50.0,1,0,False,0,0,0,10,30.386490280363184,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (493040.855 5456337.857, 493089.897 5456337.453)",0.9156532848244208,1.113350072951313,-3.364136263006617e-15,0.0,0.04291845493562232,0.0,0
500 E 16TH AV,49.25646334899507,-123.09203746030616,2021.0,KINGSWAY AVE,EB STOP BAR AT 12TH AVE,EB STOP BAR AT FRASER ST,50.0,1,0,False,0,0,0,5,28.513283670218573,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (493288.639 5455970.682, 493316.92 5455969.931)",0.9156532848244208,0.7520735950381855,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
400 E 17TH AV,49.255608527459046,-123.09492345873616,,,,,43.842981760507534,0,0,,0,0,0,11,32.66078314479774,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (493011.449 5455877.485, 493173.865 5455873.587)",-1.0566978441507719e-15,1.5519821551552317,-3.364136263006617e-15,0.0,0.047210300429184546,0.0,0
0 W 17TH AV,49.255684330828245,-123.1060660625763,,,,,43.842981760507534,0,0,,0,0,0,10,17.214104686069454,1,31.029511691217515,0,22.789989470251722,,,"LINESTRING (492360.616 5455882.638, 492203.083 5455887.443)",-1.0566978441507719e-15,-1.4271454855459296,1.2014925182257714,0.0,0.04291845493562232,0.3333333333333333,4
3100 COLUMBIA ST,49.257018269514234,-123.10968697160683,,,,,43.842981760507534,0,0,,0,0,0,6,25.690545279599014,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492019.299 5456061.186, 492017.862 5456006.234)",-1.0566978441507719e-15,0.2076654244122675,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,0
0 E 21ST AV,49.25184439395285,-123.10358407520307,,,,,43.842981760507534,0,0,,0,0,0,8,24.72429964087072,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492412.224 5455459.271, 492511.521 5455456.536)",-1.0566978441507719e-15,0.021310209099563632,-3.364136263006617e-15,0.0,0.034334763948497854,0.0,0
3300 ONTARIO ST,49.255416636626606,-123.10499928155896,,,,,43.842981760507534,0,0,,0,0,0,7,18.24216794344717,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492360.616 5455882.638, 492358.254 5455827.706)",-1.0566978441507719e-15,-1.2288677992053685,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
3500 MANITOBA ST,49.25356360642858,-123.10724337086144,,,,,43.842981760507534,0,0,,0,0,0,6,24.16936893100919,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492196.696 5455677.047, 492194.995 5455621.752)",-1.0566978441507719e-15,-0.0857166459514807,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,0
3400 PRINCE EDWARD ST,49.25450369910344,-123.09656847395392,,,,,43.842981760507534,0,0,,0,0,0,6,28.173032009270084,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492973.44 5455778.046, 492972.153 5455727.68)",-1.0566978441507719e-15,0.6864508703446867,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,0
3200 PRINCE EDWARD ST,49.25585727746815,-123.09651963527077,,,,,43.842981760507534,0,0,,0,0,0,6,29.34174183831367,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492977.151 5455928.372, 492975.934 5455878.3)",-1.0566978441507719e-15,0.9118543941485688,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,0
1600 TRAFALGAR ST,49.27164321217923,-123.16439999004784,,,,,43.842981760507534,0,0,,0,0,0,5,27.468388283697163,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488041.583 5457693.342, 488040.218 5457640.226)",-1.0566978441507719e-15,0.5505495757518192,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
2500 W 18TH AV,49.25637010687594,-123.16340702376156,,,,,43.842981760507534,0,0,,0,0,0,7,18.602641295078467,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488161.676 5455967.297, 488057.251 5455970.127)",-1.0566978441507719e-15,-1.1593450129021314,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
3000 LARCH ST,49.259062858858854,-123.16258792384738,,,,,43.842981760507534,0,0,,0,0,0,6,31.19831410270501,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488170.361 5456293.509, 488169.059 5456242.365)",-1.0566978441507719e-15,1.269922684660699,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,0
2700 W 18TH AV,49.25640138679221,-123.16542530703784,,,,,43.842981760507534,0,0,,0,0,0,6,21.225106121202995,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (487987.437 5455972.278, 487937.779 5455972.739)",-1.0566978441507719e-15,-0.6535626551513275,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,4
2100 LARCH ST,49.26699537288808,-123.1622916812589,,,,,43.842981760507534,0,0,,0,0,0,7,22.07762397969785,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488194.406 5457197.408, 488191.91 5457102.093)",-1.0566978441507719e-15,-0.48914157762198507,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
6500-6600 KNIGHT ST,49.22508277035009,-123.07729925855614,2021.0,KNIGHT ST,N END OF SE MARINE DR OVERPASS BR DECK,NB STOP BAR AT 49TH AVE,46.0,0,0,False,0,0,1,17,23.182588371087,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (494372.256 5452504.056, 494371.06 5452457.004)",0.320785282679343,-0.27603233415755124,-3.364136263006617e-15,0.0,0.07296137339055794,0.0,4
1700 E 43RD AV,49.2305465378987,-123.0692040068372,,,,,43.842981760507534,0,0,,0,0,0,7,22.56233361959477,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (494941.514 5453087.698, 494981.782 5453087.031)",-1.0566978441507719e-15,-0.3956579274126892,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
1300 E 43RD AV,49.23066219868819,-123.0774583187904,2021.0,KNIGHT ST,NB STOP BAR AT 49TH AVE,41ST AVE,50.0,0,0,False,1,0,0,9,28.04334948802976,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (494335.082 5453104.002, 494386.341 5453097.608)",0.9156532848244208,0.6614396173057167,-3.364136263006617e-15,0.0,0.03862660944206009,0.0,0
2300-2400 SCARBORO AV,49.21292525329583,-123.05906169705092,,,,,43.842981760507534,0,0,,0,0,0,4,12.782118797129844,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495673.74 5451127.857, 495723.306 5451127.72)",-1.0566978441507719e-15,-2.281921591633434,-3.364136263006617e-15,0.0,0.017167381974248927,0.0,4
6600 MCKINNON ST,49.223104771276965,-123.0389096582108,,,,,43.842981760507534,0,0,,0,0,0,5,28.964318850014468,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497167.517 5452277.67, 497166.048 5452239.31)",-1.0566978441507719e-15,0.839062611780442,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
2900 E 51ST AV,49.22318964415872,-123.04538494338344,,,,,43.842981760507534,0,0,,0,0,0,7,19.94062133667361,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (496667.217 5452268.368, 496723.36 5452268.008)",-1.0566978441507719e-15,-0.9012951457237127,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
500 FELLOWES ST,49.29072998333577,-123.02605222657176,,,,,43.842981760507534,0,0,,0,0,0,3,37.27389670859991,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (498078.952 5459715.601, 498097.34 5459758.553, 498132.816 5459835.785)",-1.0566978441507719e-15,2.441691497156253,-3.364136263006617e-15,0.0,0.012875536480686695,0.0,0
3100 YEW ST,49.257559440755,-123.15553314233196,,,,,43.842981760507534,0,0,,0,0,0,7,26.71983900784506,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488683.424 5456126.366, 488681.954 5456073.078)",-1.0566978441507719e-15,0.4061804258354666,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,0
3100 VINE ST,49.25759764083921,-123.15790252068862,,,,,43.842981760507534,0,0,,0,0,0,9,28.911734619230327,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488511.011 5456130.97, 488509.571 5456077.682)",-1.0566978441507719e-15,0.8289209404941127,-3.364136263006617e-15,0.0,0.03862660944206009,0.0,0
3300 YEW ST,49.25650777445617,-123.15557269430472,,,,,43.842981760507534,0,0,,0,0,0,7,20.66808741014233,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (488680.362 5456012.11, 488678.779 5455953.518)",-1.0566978441507719e-15,-0.7609922130943092,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,4
700 N BOUNDARY ROAD,49.29242520142781,-123.02337949647762,,,,,43.842981760507534,0,0,,0,0,0,0,24.61380691026326,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (498299.661 5459936.7, 498300.335 5459992.087)",-1.0566978441507719e-15,0.0,-3.364136263006617e-15,0.0,0.0,0.0,0
600 N BOUNDARY ROAD,49.291390956855125,-123.02339738051478,,,,,43.842981760507534,0,0,,0,0,0,2,15.386733691591278,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (498298.411 5459826.144, 498298.913 5459872.688)",-1.0566978441507719e-15,-1.779581865574889,-3.364136263006617e-15,0.0,0.008583690987124463,0.0,4
3600 WELLINGTON AV,49.23855072193908,-123.02644251744928,,,,,43.842981760507534,0,0,,0,0,0,5,26.51554584080774,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (498055.849 5453987.356, 498094.513 5453963.084)",-1.0566978441507719e-15,0.3667793712751991,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
3500 WELLINGTON AV,49.23913426888598,-123.0278645840819,,,,,43.842981760507534,0,0,,0,0,0,5,26.379543604100984,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497952.243 5454052.152, 497991.135 5454028.108)",-1.0566978441507719e-15,0.3405492646763703,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
5000 HOY ST,49.23938403672507,-123.02509273269897,2021.0,BOUNDARY RD,NB LEFT TURN STOP BAR AT WELLINGTON AVE,NB STOP BAR AT MASCROP ST,50.0,1,0,False,0,0,0,3,14.712231198133471,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (498173.506 5454090.892, 498173.426 5454044.76)",0.9156532848244208,-1.9096699636311127,-3.364136263006617e-15,0.0,0.012875536480686695,0.0,4
4800 RUPERT ST,49.24144031860871,-123.03700239961832,,,,,43.842981760507534,0,0,,0,0,0,10,30.556892754252637,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497320.134 5454318.334, 497293.18 5454275.223)",-1.0566978441507719e-15,1.1462147902019706,-3.364136263006617e-15,0.0,0.04291845493562232,0.0,0
3000 HORLEY ST,49.23807829080138,-123.04269415173984,,,,,43.842981760507534,0,0,,0,0,0,6,23.394724565282832,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (496874.833 5453933.905, 496909.473 5453912.576)",-1.0566978441507719e-15,-0.2351186321334863,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,4
3300 MONMOUTH AV,49.24243541130604,-123.03304938740742,,,,,43.842981760507534,0,0,,0,0,0,10,31.045636726893953,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497531.36 5454446.768, 497657.518 5454367.772)",-1.0566978441507719e-15,1.2404765230406634,-3.364136263006617e-15,0.0,0.04291845493562232,0.0,0
4500 MOSS ST,49.24391631775523,-123.04097992485002,,,,,43.842981760507534,0,0,,0,0,0,7,27.790884000648045,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (497047.305 5454619.981, 496987.272 5454524.388)",-1.0566978441507719e-15,0.6127477957085004,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,0
4500 ASH ST,49.244533588901085,-123.11861262409414,2021.0,CAMBIE ST,41ST AVE,29TH AVE,50.0,0,0,False,0,0,1,9,24.958571733323105,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491367.63 5454671.269, 491366.22 5454622.266)",0.9156532848244208,0.0664931568727421,-3.364136263006617e-15,0.0,0.03862660944206009,0.0,0
300 W 37TH AV,49.23701195869663,-123.11293346499872,,,,,43.842981760507534,0,0,,0,0,0,5,24.542026823647166,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491804.101 5453808.978, 491795.03 5453807.856, 491753.953 5453812.736)",-1.0566978441507719e-15,-0.013843884991928247,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,0
7900 MANITOBA ST,49.21272731180373,-123.10995290686114,2021.0,SW MARINE DR,EB STOP BAR AT CAMBIE ST,ONTARIO ST,45.0,0,0,False,1,0,0,15,27.637939802702128,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491992.657 5451133.995, 491991.489 5451085.85)",0.17206828214307351,0.583250173368334,-3.364136263006617e-15,0.0,0.06437768240343347,0.0,0
200 E 64TH AV,49.2126356191625,-123.100815423,,,,,43.842981760507534,0,0,,0,0,0,9,29.666519371979536,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (492613.492 5451100.461, 492701.602 5451097.144)",-1.0566978441507719e-15,0.9744926972768384,-3.364136263006617e-15,0.0,0.03862660944206009,0.0,0
8400 MANITOBA ST,49.2071442704537,-123.11024293429148,,,,,43.842981760507534,0,0,,0,0,0,4,16.92113255686916,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491970.989 5450518.141, 491969.103 5450460.44)",-1.0566978441507719e-15,-1.483649631106264,-3.364136263006617e-15,0.0,0.017167381974248927,0.0,4
8600-8700 ASH ST,49.207116258499894,-123.11906781976263,,,,,43.842981760507534,0,0,,0,0,0,4,26.174540629982,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491327.775 5450512.74, 491327.147 5450486.352, 491326.895 5450461.554)",-1.0566978441507719e-15,0.30101131298950073,-3.364136263006617e-15,0.0,0.017167381974248927,0.0,0
2100 BURQUITLAM DRIVE,49.21161997210403,-123.06461995419562,,,,,43.842981760507534,0,0,,0,0,0,5,18.410889601533604,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495283.512 5451001.885, 495303.668 5450964.139)",-1.0566978441507719e-15,-1.1963272529297904,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,4
7300 JASPER CRESCENT,49.21716582553576,-123.06631477950096,,,,,43.842981760507534,0,0,,0,0,0,8,24.09499594599876,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495196.585 5451599.402, 495144.8 5451599.894)",-1.0566978441507719e-15,-0.10006061096363636,-3.364136263006617e-15,0.0,0.034334763948497854,0.0,4
1800-1900 E 64TH AV,49.21147911047672,-123.066435367086,,,,,43.842981760507534,0,0,,0,0,0,15,29.395307659449525,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495135.768 5450975.308, 495136.997 5450974.638, 495138.305 5450973.953, 495139.627 5450973.29, 495140.96 5450972.651, 495142.304 5450972.035, 495143.658 5450971.442, 495145.023 5450970.873, 495146.397 5450970.329, 495147.78 5450969.808, 495149.173 5450969.311, 495150.574 5450968.839, 495151.982 5450968.392, 495153.399 5450967.969, 495154.823 5450967.57, 495156.253 5450967.197, 495157.69 5450966.849, 495159.132 5450966.526, 495160.58 5450966.228, 495162.033 5450965.955, 495163.49 5450965.707, 495164.952 5450965.485, 495166.417 5450965.289, 495167.886 5450965.118, 495169.357 5450964.973, 495170.83 5450964.854, 495172.306 5450964.761, 495173.782 5450964.693, 495175.26 5450964.651, 495187.434 5450964.752)",-1.0566978441507719e-15,0.922185380112254,-3.364136263006617e-15,0.0,0.06437768240343347,0.0,0
2300 BOBOLINK AV,49.21415393728272,-123.05797045190285,,,,,43.842981760507534,0,0,,0,0,0,11,29.997547196908695,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (495675.873 5451267.837, 495838.186 5451265.302, 495878.833 5451246.169)",-1.0566978441507719e-15,1.0383364644480515,-3.364136263006617e-15,0.0,0.047210300429184546,0.0,0
7900-8000 ROSS ST,49.21264708895193,-123.0831805643222,,,,,43.842981760507534,0,0,,0,0,0,7,28.941524124384017,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (493942.703 5451123.012, 493941.11 5451074.02)",-1.0566978441507719e-15,0.8346663011192652,-3.364136263006617e-15,0.0,0.030042918454935622,0.0,0
