HBLOCK,latitude,longitude,pavement_Year,pavement_Road Name,pavement_From Street,pavement_To Street,pavement_length_(m),pavement_FAIR,pavement_GOOD,pavement_NO DATA,pavement_POOR,pavement_VERY GOOD,pavement_VERY POOR,streetlight_count,avg_distance_to_streetlight_meters,curb_ramp_count,avg_distance_to_curb_ramp_meters,under_construction,construction_distance,construction_location,construction_completion,geometry_text
1900 TRAFALGAR ST,49.26853400323658,-123.16451087801084,,,,,,,,,,,,17,24.15439377607666,0,,False,,,,"LINESTRING (488032.698 5457345.289, 488031.466 5457297.01)"
2000 E 19TH AV,49.25326033084365,-123.06292022888687,,,,,,,,,,,,6,18.697724605351763,0,,False,,,,"LINESTRING (495361.118 5455637.658, 495481.352 5455586.454)"
1900 E 19TH AV,49.25390547647116,-123.0652400266269,,,,,,,,,,,,11,24.47981056507979,0,,False,,,,"LINESTRING (495190.117 5455710.479, 495314.849 5455657.361)"
2900 VINE ST,49.259908311119645,-123.1578157625481,,,,,,,,,,,,4,23.105185090996706,0,,False,,,,"LINESTRING (488517.823 5456386.763, 488516.457 5456335.618)"
2900 BALSAM ST,49.25994571502939,-123.16018390570247,,,,,,,,,,,,5,24.104359911750997,0,,False,,,,"LINESTRING (488345.522 5456391.312, 488344.158 5456340.11)"
7400 RUPERT ST,49.21692890087713,-123.04457209008575,,,,,,,,,,,,5,26.007526871942396,0,,False,,,,"LINESTRING (496765.709 5451591.141, 496742.424 5451553.157)"
7700 MUNROE CRESCENT,49.21418652064263,-123.04019190803926,,,,,,,,,,,,8,24.77510967519994,0,,False,,,,"LINESTRING (497074.272 5451311.708, 497071.505 5451222.495)"
3100 E 62ND AV,49.213791854764665,-123.04054488866984,,,,,,,,,,,,5,22.4738357393635,0,,False,,,,"LINESTRING (497022.811 5451223.986, 497071.505 5451222.495)"
3100 E 63RD AV,49.21304138421228,-123.04024981720063,,,,,,,,,,,,10,19.89419039065279,0,,False,,,,"LINESTRING (496968.329 5451139.417, 497108.416 5451135.066, 497108.417 5451135.066, 497109.427 5451135.043, 497110.437 5451135.038, 497111.447 5451135.05, 497112.457 5451135.08, 497113.466 5451135.128, 497114.475 5451135.193, 497115.481 5451135.276, 497116.487 5451135.376, 497117.49 5451135.494, 497118.491 5451135.63, 497119.49 5451135.782, 497120.486 5451135.953, 497121.479 5451136.14, 497122.468 5451136.345, 497123.454 5451136.567, 497124.435 5451136.807, 497125.413 5451137.063, 497126.385 5451137.336, 497127.353 5451137.627, 497128.315 5451137.934, 497129.272 5451138.258, 497130.224 5451138.599, 497131.169 5451138.956, 497132.107 5451139.329, 497133.039 5451139.719, 497133.964 5451140.125, 497134.882 5451140.548, 497135.793 5451140.986, 497136.695 5451141.44, 497137.59 5451141.909, 497138.476 5451142.395, 497139.354 5451142.895, 497140.222 5451143.411, 497141.082 5451143.942, 497141.932 5451144.488, 497142.773 5451145.048, 497143.603 5451145.624, 497144.424 5451146.213, 497145.234 5451146.817, 497146.033 5451147.435, 497146.822 5451148.067, 497147.599 5451148.712, 497148.365 5451149.371, 497149.119 5451150.043, 497149.862 5451150.728, 497150.592 5451151.426, 497151.31 5451152.137, 497152.016 5451152.86, 497152.709 5451153.595, 497153.389 5451154.343, 497154.055 5451155.102, 497154.709 5451155.872, 497155.349 5451156.654, 497155.975 5451157.447, 497156.587 5451158.251, 497157.185 5451159.065, 497157.769 5451159.889, 497158.338 5451160.724, 497158.893 5451161.569, 497159.433 5451162.423, 497159.958 5451163.286, 497160.467 5451164.158, 497160.962 5451165.039, 497161.441 5451165.929, 497161.904 5451166.827, 497162.352 5451167.732, 497162.784 5451168.646, 497163.068 5451169.277)"
300 E BROADWAY,49.26281450465779,-123.09799288693637,2021.0,KINGSWAY AVE,EB STOP BAR AT BROADWAY AVE,EB STOP BAR AT 12TH AVE,50.0,False,False,False,False,True,False,28,26.42458187486636,0,,True,0.5819220240211989,Various Locations,2027-12-02,"LINESTRING (492800.124 5456679.592, 492940.557 5456674.23)"
500 E 11TH AV,49.260637786812595,-123.09134879733007,,,,,,,,,,,,4,26.17507540891316,0,,False,,,,"LINESTRING (493334.265 5456434.548, 493372.638 5456434.09)"
400 E 12TH AV,49.25976507679603,-123.09530636780451,2021.0,KINGSWAY AVE,EB STOP BAR AT 12TH AVE,EB STOP BAR AT FRASER ST,50.0,True,False,False,False,False,False,10,30.386490280363184,0,,False,,,,"LINESTRING (493040.855 5456337.857, 493089.897 5456337.453)"
500 E 16TH AV,49.25646334899507,-123.09203746030616,2021.0,KINGSWAY AVE,EB STOP BAR AT 12TH AVE,EB STOP BAR AT FRASER ST,50.0,True,False,False,False,False,False,5,28.513283670218573,0,,False,,,,"LINESTRING (493288.639 5455970.682, 493316.92 5455969.931)"
400 E 17TH AV,49.255608527459046,-123.09492345873616,,,,,,,,,,,,11,32.66078314479774,0,,False,,,,"LINESTRING (493011.449 5455877.485, 493173.865 5455873.587)"
0 W 17TH AV,49.255684330828245,-123.1060660625763,,,,,,,,,,,,10,17.214104686069454,1,31.029511691217515,False,,,,"LINESTRING (492360.616 5455882.638, 492203.083 5455887.443)"
3100 COLUMBIA ST,49.257018269514234,-123.10968697160683,,,,,,,,,,,,6,25.690545279599018,0,,False,,,,"LINESTRING (492019.299 5456061.186, 492017.862 5456006.234)"
0 E 21ST AV,49.25184439395285,-123.10358407520309,,,,,,,,,,,,8,24.72429964087072,0,,False,,,,"LINESTRING (492412.224 5455459.271, 492511.521 5455456.536)"
3300 ONTARIO ST,49.255416636626606,-123.10499928155896,,,,,,,,,,,,7,18.24216794344717,0,,False,,,,"LINESTRING (492360.616 5455882.638, 492358.254 5455827.706)"
3500 MANITOBA ST,49.25356360642858,-123.10724337086145,,,,,,,,,,,,6,24.16936893100919,0,,False,,,,"LINESTRING (492196.696 5455677.047, 492194.995 5455621.752)"
3400 PRINCE EDWARD ST,49.25450369910344,-123.09656847395391,,,,,,,,,,,,6,28.173032009270084,0,,False,,,,"LINESTRING (492973.44 5455778.046, 492972.153 5455727.68)"
3200 PRINCE EDWARD ST,49.25585727746815,-123.09651963527075,,,,,,,,,,,,6,29.34174183831367,0,,False,,,,"LINESTRING (492977.151 5455928.372, 492975.934 5455878.3)"
1600 TRAFALGAR ST,49.27164321217923,-123.16439999004785,,,,,,,,,,,,5,27.468388283697163,0,,False,,,,"LINESTRING (488041.583 5457693.342, 488040.218 5457640.226)"
2500 W 18TH AV,49.25637010687594,-123.16340702376156,,,,,,,,,,,,7,18.602641295078467,0,,False,,,,"LINESTRING (488161.676 5455967.297, 488057.251 5455970.127)"
3000 LARCH ST,49.259062858858854,-123.16258792384738,,,,,,,,,,,,6,31.19831410270501,0,,False,,,,"LINESTRING (488170.361 5456293.509, 488169.059 5456242.365)"
2700 W 18TH AV,49.25640138679221,-123.16542530703784,,,,,,,,,,,,6,21.225106121202995,0,,False,,,,"LINESTRING (487987.437 5455972.278, 487937.779 5455972.739)"
2100 LARCH ST,49.26699537288808,-123.1622916812589,,,,,,,,,,,,7,22.07762397969785,0,,False,,,,"LINESTRING (488194.406 5457197.408, 488191.91 5457102.093)"
6500-6600 KNIGHT ST,49.22508277035009,-123.07729925855614,2021.0,KNIGHT ST,N END OF SE MARINE DR OVERPASS BR DECK,NB STOP BAR AT 49TH AVE,46.0,False,False,False,False,False,True,17,23.182588371087,0,,False,,,,"LINESTRING (494372.256 5452504.056, 494371.06 5452457.004)"
1700 E 43RD AV,49.2305465378987,-123.0692040068372,,,,,,,,,,,,7,22.56233361959477,0,,False,,,,"LINESTRING (494941.514 5453087.698, 494981.782 5453087.031)"
1300 E 43RD AV,49.23066219868819,-123.0774583187904,2021.0,KNIGHT ST,NB STOP BAR AT 49TH AVE,41ST AVE,50.0,False,False,False,True,False,False,9,28.04334948802976,0,,False,,,,"LINESTRING (494335.082 5453104.002, 494386.341 5453097.608)"
2300-2400 SCARBORO AV,49.21292525329583,-123.05906169705092,,,,,,,,,,,,4,12.782118797129845,0,,False,,,,"LINESTRING (495673.74 5451127.857, 495723.306 5451127.72)"
6600 MCKINNON ST,49.223104771276965,-123.0389096582108,,,,,,,,,,,,5,28.964318850014468,0,,False,,,,"LINESTRING (497167.517 5452277.67, 497166.048 5452239.31)"
2900 E 51ST AV,49.22318964415872,-123.04538494338345,,,,,,,,,,,,7,19.94062133667361,0,,False,,,,"LINESTRING (496667.217 5452268.368, 496723.36 5452268.008)"
500 FELLOWES ST,49.29072998333577,-123.02605222657176,,,,,,,,,,,,3,37.27389670859991,0,,False,,,,"LINESTRING (498078.952 5459715.601, 498097.34 5459758.553, 498132.816 5459835.785)"
3100 YEW ST,49.257559440755,-123.15553314233195,,,,,,,,,,,,7,26.71983900784506,0,,False,,,,"LINESTRING (488683.424 5456126.366, 488681.954 5456073.078)"
3100 VINE ST,49.25759764083921,-123.15790252068862,,,,,,,,,,,,9,28.911734619230327,0,,False,,,,"LINESTRING (488511.011 5456130.97, 488509.571 5456077.682)"
3300 YEW ST,49.25650777445617,-123.15557269430471,,,,,,,,,,,,7,20.66808741014233,0,,False,,,,"LINESTRING (488680.362 5456012.11, 488678.779 5455953.518)"
700 N BOUNDARY ROAD,49.292425201427804,-123.02337949647762,,,,,,,,,,,,0,,0,,False,,,,"LINESTRING (498299.661 5459936.7, 498300.335 5459992.087)"
600 N BOUNDARY ROAD,49.291390956855125,-123.02339738051478,,,,,,,,,,,,2,15.386733691591278,0,,False,,,,"LINESTRING (498298.411 5459826.144, 498298.913 5459872.688)"
3600 WELLINGTON AV,49.23855072193908,-123.02644251744927,,,,,,,,,,,,5,26.51554584080774,0,,False,,,,"LINESTRING (498055.849 5453987.356, 498094.513 5453963.084)"
3500 WELLINGTON AV,49.23913426888598,-123.0278645840819,,,,,,,,,,,,5,26.379543604100984,0,,False,,,,"LINESTRING (497952.243 5454052.152, 497991.135 5454028.108)"
5000 HOY ST,49.23938403672507,-123.02509273269895,2021.0,BOUNDARY RD,NB LEFT TURN STOP BAR AT WELLINGTON AVE,NB STOP BAR AT MASCROP ST,50.0,True,False,False,False,False,False,3,14.712231198133473,0,,False,,,,"LINESTRING (498173.506 5454090.892, 498173.426 5454044.76)"
4800 RUPERT ST,49.24144031860871,-123.03700239961832,,,,,,,,,,,,10,30.556892754252637,0,,False,,,,"LINESTRING (497320.134 5454318.334, 497293.18 5454275.223)"
3000 HORLEY ST,49.23807829080138,-123.04269415173985,,,,,,,,,,,,6,23.394724565282832,0,,False,,,,"LINESTRING (496874.833 5453933.905, 496909.473 5453912.576)"
3300 MONMOUTH AV,49.24243541130604,-123.03304938740742,,,,,,,,,,,,10,31.045636726893953,0,,False,,,,"LINESTRING (497531.36 5454446.768, 497657.518 5454367.772)"
4500 MOSS ST,49.243916317755236,-123.04097992485002,,,,,,,,,,,,7,27.790884000648045,0,,False,,,,"LINESTRING (497047.305 5454619.981, 496987.272 5454524.388)"
4500 ASH ST,49.244533588901085,-123.11861262409414,2021.0,CAMBIE ST,41ST AVE,29TH AVE,50.0,False,False,False,False,False,True,9,24.958571733323105,0,,False,,,,"LINESTRING (491367.63 5454671.269, 491366.22 5454622.266)"
300 W 37TH AV,49.23701195869663,-123.11293346499872,,,,,,,,,,,,5,24.542026823647166,0,,False,,,,"LINESTRING (491804.101 5453808.978, 491795.03 5453807.856, 491753.953 5453812.736)"
7900 MANITOBA ST,49.21272731180373,-123.10995290686114,2021.0,SW MARINE DR,EB STOP BAR AT CAMBIE ST,ONTARIO ST,45.0,False,False,False,True,False,False,15,27.637939802702128,0,,False,,,,"LINESTRING (491992.657 5451133.995, 491991.489 5451085.85)"
200 E 64TH AV,49.2126356191625,-123.10081542300001,,,,,,,,,,,,9,29.666519371979536,0,,False,,,,"LINESTRING (492613.492 5451100.461, 492701.602 5451097.144)"
8400 MANITOBA ST,49.2071442704537,-123.11024293429149,,,,,,,,,,,,4,16.92113255686916,0,,False,,,,"LINESTRING (491970.989 5450518.141, 491969.103 5450460.44)"
8600-8700 ASH ST,49.207116258499894,-123.11906781976265,,,,,,,,,,,,4,26.174540629981998,0,,False,,,,"LINESTRING (491327.775 5450512.74, 491327.147 5450486.352, 491326.895 5450461.554)"
2100 BURQUITLAM DRIVE,49.21161997210403,-123.06461995419562,,,,,,,,,,,,5,18.410889601533604,0,,False,,,,"LINESTRING (495283.512 5451001.885, 495303.668 5450964.139)"
7300 JASPER CRESCENT,49.21716582553576,-123.06631477950096,,,,,,,,,,,,8,24.09499594599876,0,,False,,,,"LINESTRING (495196.585 5451599.402, 495144.8 5451599.894)"
1800-1900 E 64TH AV,49.21147911047672,-123.06643536708599,,,,,,,,,,,,15,29.395307659449525,0,,False,,,,"LINESTRING (495135.768 5450975.308, 495136.997 5450974.638, 495138.305 5450973.953, 495139.627 5450973.29, 495140.96 5450972.651, 495142.304 5450972.035, 495143.658 5450971.442, 495145.023 5450970.873, 495146.397 5450970.329, 495147.78 5450969.808, 495149.173 5450969.311, 495150.574 5450968.839, 495151.982 5450968.392, 495153.399 5450967.969, 495154.823 5450967.57, 495156.253 5450967.197, 495157.69 5450966.849, 495159.132 5450966.526, 495160.58 5450966.228, 495162.033 5450965.955, 495163.49 5450965.707, 495164.952 5450965.485, 495166.417 5450965.289, 495167.886 5450965.118, 495169.357 5450964.973, 495170.83 5450964.854, 495172.306 5450964.761, 495173.782 5450964.693, 495175.26 5450964.651, 495187.434 5450964.752)"
2300 BOBOLINK AV,49.21415393728272,-123.05797045190283,,,,,,,,,,,,11,29.997547196908695,0,,False,,,,"LINESTRING (495675.873 5451267.837, 495838.186 5451265.302, 495878.833 5451246.169)"
7900-8000 ROSS ST,49.21264708895193,-123.08318056432219,,,,,,,,,,,,7,28.941524124384017,0,,False,,,,"LINESTRING (493942.703 5451123.012, 493941.11 5451074.02)"
2000-2100 E 36TH AV,49.237448746638535,-123.0637578984841,,,,,,,,,,,,9,22.152457831273114,0,,False,,,,"LINESTRING (495285.942 5453854.907, 495431.648 5453853.76)"
2500 WARD ST,49.24101170124127,-123.0513777507646,,,,,,,,,,,,11,26.166579711227527,1,23.1211879399909,True,66.24340049364235,,2025-06-16,"LINESTRING (496229.71 5454269.248, 496290.824 5454230.233)"
4900 DUCHESS ST,49.23970692524307,-123.05219847679042,2021.0,KINGSWAY AVE,EB STOP BAR AT 33RD AVE,EB STOP BAR AT EARLES ST,50.0,True,False,False,False,False,False,6,30.417967557745715,0,,False,,,,"LINESTRING (496203.993 5454110.299, 496196.861 5454099.16)"
4700-4800 CLARENDON ST,49.24051562619169,-123.05452186282047,2021.0,KINGSWAY AVE,NANAIMO ST,EB STOP BAR AT 33RD AVE,41.0,False,True,False,False,False,False,16,28.25122745456548,0,,True,8.462938967207504e-05,,2025-06-16,"LINESTRING (496031.505 5454225.597, 496031.236 5454163.907)"
2700 KINGSWAY,49.237955356630145,-123.04960389557912,2021.0,KINGSWAY AVE,EB STOP BAR AT EARLES ST,EB STOP BAR AT RUPERT ST,12.0,False,False,False,False,True,False,32,28.312098889083625,0,,True,5.597136626307694e-05,,2025-06-16,"LINESTRING (496337.353 5453946.697, 496440.97 5453873.065)"
2500 E 37TH AV,49.23738309960194,-123.05454158276179,,,,,,,,,,,,9,25.911194929473123,0,,False,,,,"LINESTRING (496007.309 5453846.744, 496052.059 5453846.277)"
2600 E 34TH AV,49.23887887288888,-123.05257459567989,2021.0,KINGSWAY AVE,EB STOP BAR AT 33RD AVE,EB STOP BAR AT EARLES ST,50.0,False,True,False,False,False,False,16,27.66377857579801,0,,False,,,,"LINESTRING (496157.919 5454012.837, 496188.051 5454012.551)"
2800 EUCLID AV,49.24238151573225,-123.04867485342348,,,,,,,,,,,,8,29.115694128881188,0,,False,,,,"LINESTRING (496440.445 5454412.53, 496473.767 5454391.255)"
1100 KAMLOOPS ST,49.274353187454295,-123.05465615067425,,,,,,,,,,,,7,28.300624518689347,0,,True,0.00010318125638950875,,2025-06-16,"LINESTRING (496024.376 5457979.556, 496024.253 5457933.421)"
1600 SLOCAN ST,49.26975245035006,-123.04946128004278,2021.0,1ST AVE,NANAIMO ST,RENFREW ST,50.0,True,False,False,False,False,False,15,20.999043137930446,0,,True,0.00010318386354722597,,2025-06-16,"LINESTRING (496402.155 5457472.289, 496401.554 5457417.235)"
1500 PENTICTON ST,49.27112828617486,-123.05206498992189,,,,,,,,,,,,7,29.11824886195862,0,,False,,,,"LINESTRING (496212.837 5457623.734, 496212.26 5457571.949)"
1000 SLOCAN ST,49.27559226257681,-123.04936676587339,,,,,,,,,,,,7,30.714034433527253,0,,True,0.0,,2025-06-16,"LINESTRING (496409.476 5458116.984, 496408.832 5458070.961)"
300 KASLO ST,49.28137521998764,-123.04670385237259,2021.0,HASTINGS ST,NANAIMO ST,RENFREW ST,50.0,False,True,False,False,False,False,13,22.63222526697594,0,,False,,,,"LINESTRING (496603.303 5458763.364, 496603.19 5458710.125)"
2700 WILLIAM ST,49.274140621273745,-123.04813062269626,,,,,,,,,,,,19,34.3255425468121,0,,True,1.1856491217046706e-06,,2025-06-16,"LINESTRING (496407.165 5457932.735, 496590.767 5457932.336)"
1700 KASLO ST,49.26874347974904,-123.04695444285183,2021.0,1ST AVE,NANAIMO ST,RENFREW ST,50.0,False,False,False,False,True,False,7,31.198231335575745,0,,True,58.408476989083326,,2025-06-16,"LINESTRING (496584.413 5457357.932, 496583.885 5457307.024)"
2500 ADANAC ST,49.27746326056739,-123.05461520027569,,,,,,,,,,,,5,37.96642215246551,0,,True,0.00010317253685183007,,2025-06-16,"LINESTRING (496025.212 5458302.216, 496029.874 5458302.254)"
7800 FREMLIN ST,49.2144525060598,-123.12727774430628,,,,,,,,,,,,5,29.840932464692855,0,,False,,,,"LINESTRING (490731.233 5451328.741, 490730.005 5451278.637)"
7800 ADERA ST,49.21473701852012,-123.14347219743024,,,,,,,,,,,,8,30.57187127560142,0,,False,,,,"LINESTRING (489551.944 5451365.332, 489550.596 5451309.524)"
700 W 61ST AV,49.21512336566192,-123.12165761531162,,,,,,,,,,,,13,22.432191653427385,0,,False,,,,"LINESTRING (491254.688 5451375.201, 491025.395 5451379.991)"
7400 ALBERTA ST,49.21757142645765,-123.11329226661067,,,,,,,,,,,,10,19.38916806549161,0,,False,,,,"LINESTRING (491750.355 5451673.216, 491748.989 5451624.381)"
7300 OAK ST,49.21892450454832,-123.12863427282781,2021.0,OAK ST,NB STOP BAR AT PARK DR,49TH AVE,50.0,True,False,False,False,False,False,18,23.05961231420384,0,,False,,,,"LINESTRING (490635.904 5451832.075, 490635.07 5451822.008, 490633.571 5451807.098, 490631.813 5451792.216, 490629.795 5451777.367, 490628.685 5451770.139)"
5300 CONNAUGHT DRIVE,49.23793064524103,-123.14192279026935,,,,,,,,,,,,7,23.455894947458564,0,,False,,,,"LINESTRING (489659.334 5453933.909, 489659.973 5453932.219, 489660.641 5453930.54, 489661.338 5453928.873, 489662.065 5453927.219, 489662.82 5453925.578, 489663.603 5453923.95, 489664.415 5453922.336, 489665.255 5453920.736, 489666.123 5453919.151, 489667.018 5453917.582, 489667.941 5453916.028, 489668.89 5453914.491, 489669.867 5453912.971, 489670.869 5453911.468, 489671.898 5453909.982, 489672.952 5453908.515, 489674.032 5453907.067, 489675.137 5453905.637, 489676.267 5453904.227, 489677.421 5453902.837, 489678.599 5453901.467, 489679.801 5453900.118, 489680.203 5453899.678)"
1300 MATTHEWS AV,49.25352017041609,-123.13596726414048,,,,,,,,,,,,7,20.529879019539894,0,,False,,,,"LINESTRING (490177.945 5455643.154, 490165.663 5455643.366, 490155.604 5455643.793, 490145.463 5455644.402, 490135.343 5455645.187, 490125.229 5455646.15, 490115.136 5455647.288, 490105.1 5455648.598, 490103.619 5455648.807, 490094.865 5455650.007, 490094.466 5455650.063, 490091.08 5455650.5, 490087.686 5455650.88, 490084.287 5455651.2, 490080.884 5455651.46, 490077.475 5455651.661, 490074.064 5455651.803, 490070.651 5455651.885, 490067.236 5455651.908, 490063.822 5455651.871, 490060.409 5455651.774, 490056.998 5455651.618, 490053.591 5455651.403, 490050.188 5455651.127, 490046.79 5455650.793, 490043.398 5455650.399, 490040.014 5455649.946, 490036.638 5455649.435, 490033.272 5455648.864)"
2700 COLLINGWOOD ST,49.262266169600494,-123.18192344738281,,,,,,,,,,,,3,19.449016018832143,0,,False,,,,"LINESTRING (486764.355 5456652.375, 486762.981 5456602.134)"
2800 COLLINGWOOD ST,49.26136206638029,-123.18195698539263,,,,,,,,,,,,3,17.374513777564253,0,,False,,,,"LINESTRING (486761.641 5456551.874, 486760.331 5456501.628)"
2900 OAK ST,49.25941017926665,-123.12673732707765,2021.0,OAK ST,NB STOP BAR AT 16TH AVE,12TH AVE,50.0,False,False,False,True,False,False,14,26.381960212267863,0,,False,,,,"LINESTRING (490779.014 5456327.145, 490777.686 5456275.972)"
2700 OAK ST,49.26082006072338,-123.12668506179526,2021.0,OAK ST,12TH AVE,BROADWAY AVE,20.0,True,False,False,False,False,False,27,25.64198595875649,0,,False,,,,"LINESTRING (490783.107 5456484.95, 490781.724 5456431.628)"
3800 OSLER ST,49.25102352731628,-123.12976477454735,,,,,,,,,,,,10,14.352398699902176,0,,False,,,,"LINESTRING (490556.185 5455406.605, 490556.453 5455400.505, 490556.73 5455390.044, 490556.825 5455379.58, 490556.737 5455369.115, 490556.672 5455365.819, 490555.8 5455332.562)"
2200 W 21ST AV,49.25355153685623,-123.1568675662352,,,,,,,,,,,,10,18.871934039306204,0,,False,,,,"LINESTRING (488670.892 5455652.063, 488498.44 5455656.665)"
2200 W 23RD AV,49.25174504490522,-123.15703922181262,,,,,,,,,,,,7,22.91049160231441,0,,False,,,,"LINESTRING (488606.77 5455452.632, 488536.745 5455454.491)"
6900 GRANVILLE ST,49.223062500957454,-123.13999920390052,2021.0,GRANVILLE ST,NB STOP BAR AT 59TH AVE/ PARK DR,49TH AVE,50.0,False,False,False,False,False,True,21,19.352592871702377,0,,False,,,,"LINESTRING (489807.321 5452312.743, 489804.503 5452212.244)"
6700 CARTIER ST,49.224268006996056,-123.13755417752927,,,,,,,,,,,,6,23.669431396825345,0,,False,,,,"LINESTRING (489984.884 5452420.984, 489983.498 5452371.381)"
6100 CARTIER ST,49.22984692457308,-123.13734590444977,,,,,,,,,,,,7,22.252434875850383,0,,False,,,,"LINESTRING (490001.122 5453041.617, 489999.842 5452991.105)"
6800 GRANVILLE ST,49.22379684304448,-123.13996978055506,2021.0,GRANVILLE ST,NB STOP BAR AT 59TH AVE/ PARK DR,49TH AVE,50.0,False,False,False,True,False,False,20,19.302134964065235,0,,False,,,,"LINESTRING (489809.09 5452375.509, 489807.321 5452312.743)"
1700 E 45TH AV,49.229003704235524,-123.07126520873852,,,,,,,,,,,,7,22.874626801595515,0,,False,,,,"LINESTRING (494785.683 5452915.63, 494837.161 5452916.345)"
1100 E 43RD AV,49.23087586457032,-123.08159809047407,,,,,,,,,,,,4,19.007853091789684,0,,False,,,,"LINESTRING (494034.148 5453125.445, 494084.541 5453124.305)"
5400 CONNAUGHT DRIVE,49.236309132660615,-123.139767667532,2021.0,GRANVILLE ST,41ST AVE,NB STOP BAR AT KING EDWARD AVE,50.0,False,True,False,False,False,False,14,24.38822327644339,0,,False,,,,"LINESTRING (489808.026 5453743.133, 489809.744 5453742.115, 489811.48 5453741.127, 489813.232 5453740.17, 489815.002 5453739.244, 489816.787 5453738.348, 489818.587 5453737.484, 489820.402 5453736.651, 489822.231 5453735.85, 489824.074 5453735.082, 489825.931 5453734.345, 489827.8 5453733.641, 489829.68 5453732.97, 489831.573 5453732.331, 489833.476 5453731.726, 489835.389 5453731.154, 489837.312 5453730.616, 489839.244 5453730.111, 489841.185 5453729.64, 489843.133 5453729.203, 489843.323 5453729.162)"
